epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,7943.71,0.95492,0.6837,1.29779,0.83633,0.8871,0.87854,0.67669,0.86031,121.228,1.20787,0.00644219,0.00644219,0.00644219
94,8030.05,0.94419,0.68144,1.28825,0.83381,0.88897,0.87923,0.67798,0.85974,121.879,1.20732,0.00640352,0.00640352,0.00640352
95,8113.14,0.94641,0.68272,1.29367,0.83406,0.89345,0.88034,0.67887,0.85907,121.878,1.20718,0.00636484,0.00636484,0.00636484
96,8199.65,0.95087,0.68309,1.29557,0.83575,0.89364,0.88154,0.68002,0.8581,121.412,1.20618,0.00632617,0.00632617,0.00632617
97,8282.49,0.94427,0.67764,1.28731,0.83817,0.88763,0.88207,0.68068,0.85803,121.783,1.20547,0.0062875,0.0062875,0.0062875
98,8369.57,0.94038,0.67179,1.28757,0.83745,0.89058,0.88242,0.68201,0.85695,121.503,1.20446,0.00624883,0.00624883,0.00624883
99,8452.56,0.93772,0.66843,1.28513,0.84034,0.88584,0.88254,0.68264,0.85605,121.595,1.20418,0.00621016,0.00621016,0.00621016
100,8539.12,0.94097,0.67382,1.28732,0.84064,0.88805,0.88296,0.68195,0.85567,121.875,1.20351,0.00617148,0.00617148,0.00617148
101,8621.8,0.93703,0.66672,1.2845,0.83998,0.88791,0.88305,0.68197,0.85533,121.966,1.20295,0.00613281,0.00613281,0.00613281
102,8707.37,0.92887,0.66125,1.2768,0.84124,0.88469,0.88314,0.68188,0.85508,121.966,1.20263,0.00609414,0.00609414,0.00609414
103,8791.89,0.93348,0.66229,1.28229,0.83495,0.89416,0.88325,0.68321,0.85436,122.058,1.20184,0.00605547,0.00605547,0.00605547
104,8876.57,0.92765,0.66206,1.28215,0.83351,0.89401,0.88297,0.68365,0.85384,122.15,1.20142,0.0060168,0.0060168,0.0060168
105,8962.28,0.93094,0.6647,1.28098,0.83235,0.89325,0.88281,0.68383,0.85301,121.963,1.20098,0.00597812,0.00597812,0.00597812
106,9049.38,0.92741,0.65763,1.28017,0.83987,0.8871,0.88341,0.68415,0.85246,121.963,1.20068,0.00593945,0.00593945,0.00593945
107,9133.39,0.92341,0.6572,1.27688,0.83853,0.89142,0.8838,0.68449,0.85228,121.962,1.2003,0.00590078,0.00590078,0.00590078
108,9220.58,0.91848,0.65515,1.27049,0.83879,0.89242,0.8838,0.68545,0.85166,121.682,1.19982,0.00586211,0.00586211,0.00586211
109,9309.27,0.92066,0.6549,1.27099,0.8395,0.89253,0.88398,0.68546,0.85106,121.68,1.19926,0.00582344,0.00582344,0.00582344
110,9392.84,0.92022,0.65053,1.2736,0.83895,0.89331,0.88448,0.68598,0.85031,121.68,1.19865,0.00578477,0.00578477,0.00578477
111,9480.41,0.91821,0.64896,1.27397,0.83979,0.89385,0.8846,0.68646,0.84981,121.772,1.19822,0.00574609,0.00574609,0.00574609
112,9563.76,0.91452,0.64956,1.26824,0.83921,0.89504,0.88503,0.68751,0.84921,121.864,1.19785,0.00570742,0.00570742,0.00570742
113,9651.43,0.91161,0.64765,1.26276,0.84088,0.89585,0.88566,0.6876,0.84841,121.677,1.19745,0.00566875,0.00566875,0.00566875
114,9735.02,0.91418,0.64591,1.26557,0.83999,0.89736,0.88593,0.68786,0.84824,121.584,1.19733,0.00563008,0.00563008,0.00563008
115,9822.45,0.90838,0.63749,1.26037,0.84207,0.89736,0.88602,0.68896,0.84761,121.49,1.19697,0.00559141,0.00559141,0.00559141
116,9910.45,0.91052,0.63868,1.2625,0.84437,0.89703,0.88617,0.68915,0.84715,121.395,1.19651,0.00555273,0.00555273,0.00555273
117,9993.51,0.90421,0.64198,1.262,0.84395,0.89637,0.88633,0.68933,0.84668,121.209,1.19611,0.00551406,0.00551406,0.00551406
118,10080.1,0.90435,0.63729,1.26046,0.84584,0.89671,0.88663,0.6904,0.84634,121.115,1.19584,0.00547539,0.00547539,0.00547539
119,10163,0.90582,0.63676,1.25945,0.84393,0.89835,0.88673,0.69041,0.8455,121.021,1.1952,0.00543672,0.00543672,0.00543672
120,10252.1,0.90518,0.63286,1.26089,0.84531,0.89756,0.88693,0.69053,0.84498,121.02,1.19479,0.00539805,0.00539805,0.00539805
