127,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",29,1
128,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",29,1
129,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",29,1
130,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",29,1
131,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",29,1
132,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",29,1
133,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",29,1
134,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",30,1
135,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",30,1
136,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",30,1
137,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",31,1
138,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",31,1
139,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",31,1
140,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",32,1
141,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",32,1
142,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",32,1
143,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",33,1
144,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",33,1
145,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",33,1
146,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",34,1
147,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",34,1
148,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",34,1
149,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",35,1
150,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",35,1
151,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",35,1
152,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",36,1
153,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",36,1
154,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",36,1
155,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",37,1
156,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",37,1
157,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",37,1
158,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",37,1
159,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",37,1
